episode,reward,steps,key,door,goal,exploration
175,1.0,9,1,1,1,0.3
176,1.0,8,1,1,1,0.3
177,-0.16,50,1,1,0,0.3
178,-0.8,50,0,0,0,0.3
179,1.02,8,1,1,1,0.3
180,0.88,15,1,1,1,0.3
181,0.16,44,1,1,1,0.3
182,-0.76,50,0,0,0,0.3
183,0.9,12,1,1,1,0.3
184,0.92,11,1,1,1,0.3
185,1.02,8,1,1,1,0.3
186,1.04,7,1,1,1,0.3
187,1.0,9,1,1,1,0.3
188,0.82,15,1,1,1,0.3
189,0.72,19,1,1,1,0.3
190,0.96,10,1,1,1,0.3
191,1.0,8,1,1,1,0.3
192,0.56,19,1,1,1,0.3
193,0.1,41,1,1,1,0.3
194,-0.74,50,0,0,0,0.3
195,0.64,24,1,1,1,0.3
196,0.82,17,1,1,1,0.3
197,0.72,21,1,1,1,0.3
198,0.78,17,1,1,1,0.3
199,-0.14,50,1,1,0,0.3
200,-0.76,50,0,0,0,0.3
201,0.9,12,1,1,1,0.29
202,0.42,32,1,1,1,0.29
203,0.8,16,1,1,1,0.29
204,1.0,8,1,1,1,0.29
205,0.72,20,1,1,1,0.29
206,0.3,31,1,1,1,0.29
207,0.94,10,1,1,1,0.29
208,0.96,10,1,1,1,0.29
209,0.68,21,1,1,1,0.29
210,1.02,8,1,1,1,0.29
211,1.04,7,1,1,1,0.29
212,1.0,9,1,1,1,0.29
213,0.92,11,1,1,1,0.29
214,0.44,24,1,1,1,0.29
215,-0.54,50,1,1,0,0.29
216,0.98,10,1,1,1,0.29
217,0.86,14,1,1,1,0.29
218,-0.42,50,1,0,0,0.29
219,0.96,10,1,1,1,0.29
220,0.92,11,1,1,1,0.29
221,-0.72,50,0,0,0,0.29
222,1.0,8,1,1,1,0.29
223,0.94,10,1,1,1,0.29
224,0.98,9,1,1,1,0.29
225,1.02,8,1,1,1,0.29
226,1.0,9,1,1,1,0.29
227,0.8,18,1,1,1,0.29
228,0.88,12,1,1,1,0.29
229,0.12,49,1,1,1,0.29
230,0.52,21,1,1,1,0.29
231,0.84,14,1,1,1,0.29
232,1.04,7,1,1,1,0.29
233,0.92,13,1,1,1,0.29
234,0.84,16,1,1,1,0.29
235,0.46,24,1,1,1,0.29
236,1.0,8,1,1,1,0.29
237,0.92,11,1,1,1,0.29
238,1.04,7,1,1,1,0.29
239,0.88,13,1,1,1,0.29
