Experiment,Success Rate (%),Average Steps to Goal,Average Reward,Total Wins,Total Steps,Reward AUC,Success Rate AUC
Calibrated LLM RL 4x4,99.9,7.243243243243243,1.0330599999999996,999,7286,1033.6324621599902,998.9914637946952
Calibrated LLM RL 8x8,99.3,16.124874118831823,1.00606,993,16712,1008.6934717095255,995.4482345586854
Linear RL 4x4,74.2,15.862533692722373,0.51662,742,24670,857.8986552590095,944.135400684694
Uncalibrated RL 4x4,91.9,20.14689880304679,0.6361800000000001,919,22565,648.5358176393222,925.9205907625159
Q-Learning,87.1,14.404133180252582,0.67712,871,18996,630.1891991703674,841.2154931172266
Unguided RL 4x4,6.4,36.1875,-0.35078000000000004,64,49116,-352.6595801637734,71.2596188190283
