Experiment,Reward AUC,Success Rate AUC
Calibrated LLM RL 4x4,1033.6324621599902,998.9914637946952
Calibrated LLM RL 8x8,1008.6934717095255,995.4482345586854
Linear RL 4x4,857.8986552590095,944.135400684694
Uncalibrated RL 4x4,648.5358176393222,925.9205907625159
Q-Learning,630.1891991703674,841.2154931172266
DQN,-154.5579979435443,179.49437866741656
Unguided RL 4x4,-352.6595801637734,71.2596188190283
