episode,reward,length,key_picked,door_opened,goal_reached
225,1.03,15,True,True,True
226,0.98,18,True,True,True
227,1.03,15,True,True,True
228,1.03,15,True,True,True
229,1.03,15,True,True,True
230,0.8999999999999999,26,True,True,True
231,1.03,15,True,True,True
232,1.01,17,True,True,True
233,1.03,15,True,True,True
234,1.03,15,True,True,True
235,1.0,18,True,True,True
236,1.01,17,True,True,True
237,1.03,15,True,True,True
238,1.01,17,True,True,True
239,1.03,15,True,True,True
240,1.03,15,True,True,True
241,1.03,15,True,True,True
242,0.98,18,True,True,True
243,1.01,17,True,True,True
244,1.03,15,True,True,True
245,1.0,16,True,True,True
246,1.03,15,True,True,True
247,1.03,15,True,True,True
248,1.0,16,True,True,True
249,1.03,15,True,True,True
250,1.01,17,True,True,True
251,1.0,16,True,True,True
252,1.03,15,True,True,True
253,1.03,15,True,True,True
254,1.0,18,True,True,True
255,1.0,16,True,True,True
256,1.03,15,True,True,True
257,1.01,17,True,True,True
258,1.03,15,True,True,True
259,0.99,19,True,True,True
260,0.99,19,True,True,True
261,1.03,15,True,True,True
262,1.03,15,True,True,True
263,1.03,15,True,True,True
264,1.0,16,True,True,True
265,1.03,15,True,True,True
266,1.03,15,True,True,True
267,1.03,15,True,True,True
268,1.03,15,True,True,True
269,1.03,15,True,True,True
270,1.03,15,True,True,True
271,1.03,15,True,True,True
272,0.98,18,True,True,True
273,1.03,15,True,True,True
274,1.03,15,True,True,True
275,1.03,15,True,True,True
276,0.97,21,True,True,True
277,1.01,17,True,True,True
278,1.03,15,True,True,True
279,1.03,15,True,True,True
280,1.03,15,True,True,True
281,1.03,15,True,True,True
282,1.03,15,True,True,True
283,1.03,15,True,True,True
284,-0.04,100,True,True,False
285,1.03,15,True,True,True
286,1.03,15,True,True,True
287,1.01,17,True,True,True
288,1.03,15,True,True,True
289,1.03,15,True,True,True
290,0.98,18,True,True,True
291,0.9299999999999999,21,True,True,True
292,1.03,15,True,True,True
293,0.99,19,True,True,True
294,1.0,16,True,True,True
295,1.03,15,True,True,True
296,1.0,16,True,True,True
297,1.03,15,True,True,True
298,1.03,15,True,True,True
299,1.03,15,True,True,True
300,1.01,17,True,True,True
301,1.03,15,True,True,True
302,1.0,16,True,True,True
303,1.01,17,True,True,True
304,1.01,17,True,True,True
305,1.03,15,True,True,True
306,1.0,16,True,True,True
307,0.96,20,True,True,True
308,1.03,15,True,True,True
309,1.01,17,True,True,True
310,1.03,15,True,True,True
311,1.03,15,True,True,True
312,1.03,15,True,True,True
313,0.96,20,True,True,True
314,1.03,15,True,True,True
315,1.01,17,True,True,True
316,1.03,15,True,True,True
317,0.9299999999999999,25,True,True,True
318,1.01,17,True,True,True
319,1.01,17,True,True,True
320,1.03,15,True,True,True
321,1.03,15,True,True,True
322,1.0,16,True,True,True
323,1.03,15,True,True,True
324,1.03,15,True,True,True
325,1.0,16,True,True,True
326,1.03,15,True,True,True
327,1.03,15,True,True,True
328,1.01,17,True,True,True
329,1.03,15,True,True,True
330,1.03,15,True,True,True
331,1.03,15,True,True,True
332,1.03,15,True,True,True
333,1.03,15,True,True,True
334,1.0,16,True,True,True
335,1.01,17,True,True,True
336,1.03,15,True,True,True
337,1.01,17,True,True,True
338,1.0,16,True,True,True
339,1.03,15,True,True,True
340,1.03,15,True,True,True
341,1.0,16,True,True,True
342,1.01,17,True,True,True
343,0.97,17,True,True,True
344,1.01,17,True,True,True
345,0.9299999999999999,21,True,True,True
346,1.03,15,True,True,True
347,1.03,15,True,True,True
348,1.03,15,True,True,True
349,1.01,17,True,True,True
350,0.8999999999999999,26,True,True,True
351,0.98,18,True,True,True
352,1.0,16,True,True,True
353,1.03,15,True,True,True
354,1.0,16,True,True,True
355,0.98,18,True,True,True
356,1.01,17,True,True,True
357,1.03,15,True,True,True
358,1.01,17,True,True,True
359,1.0,16,True,True,True
360,1.0,16,True,True,True
361,1.03,15,True,True,True
362,1.03,15,True,True,True
363,0.98,18,True,True,True
364,1.03,15,True,True,True
365,1.01,17,True,True,True
366,1.03,15,True,True,True
367,1.0,16,True,True,True
368,1.03,15,True,True,True
369,1.03,15,True,True,True
370,0.98,18,True,True,True
371,1.03,15,True,True,True
372,1.03,15,True,True,True
373,1.01,17,True,True,True
374,1.01,17,True,True,True
375,1.01,17,True,True,True
376,0.98,18,True,True,True
377,1.03,15,True,True,True
378,1.01,17,True,True,True
379,1.01,17,True,True,True
380,1.0,16,True,True,True
381,1.01,17,True,True,True
382,1.03,15,True,True,True
383,0.99,19,True,True,True
384,1.03,15,True,True,True
385,0.96,20,True,True,True
386,0.98,18,True,True,True
387,0.98,18,True,True,True
388,1.03,15,True,True,True
389,0.95,19,True,True,True
390,1.03,15,True,True,True
391,1.01,17,True,True,True
392,1.03,15,True,True,True
393,1.01,17,True,True,True
394,1.03,15,True,True,True
395,1.0,16,True,True,True
396,1.03,15,True,True,True
397,0.98,18,True,True,True
398,1.03,15,True,True,True
399,1.03,15,True,True,True
400,1.03,15,True,True,True
401,1.03,15,True,True,True
402,1.01,17,True,True,True
403,1.0,16,True,True,True
404,1.0,16,True,True,True
405,1.03,15,True,True,True
406,1.0,16,True,True,True
407,0.97,17,True,True,True
408,1.03,15,True,True,True
409,1.03,15,True,True,True
410,1.03,15,True,True,True
411,1.01,17,True,True,True
412,1.03,15,True,True,True
413,1.0,16,True,True,True
414,0.99,19,True,True,True
415,0.98,18,True,True,True
416,1.01,17,True,True,True
417,1.03,15,True,True,True
418,1.03,15,True,True,True
419,0.94,22,True,True,True
420,1.03,15,True,True,True
421,1.03,15,True,True,True
422,0.98,18,True,True,True
423,1.03,15,True,True,True
424,1.03,15,True,True,True
425,1.0,16,True,True,True
426,0.98,18,True,True,True
427,1.03,15,True,True,True
428,0.98,18,True,True,True
429,1.03,15,True,True,True
430,0.99,19,True,True,True
431,1.0,16,True,True,True
432,-0.02,100,True,True,False
433,0.99,19,True,True,True
434,1.03,15,True,True,True
435,1.01,17,True,True,True
436,0.99,19,True,True,True
437,1.03,15,True,True,True
438,1.03,15,True,True,True
439,0.95,19,True,True,True
440,1.01,17,True,True,True
441,1.03,15,True,True,True
442,1.03,15,True,True,True
443,1.03,15,True,True,True
444,1.01,17,True,True,True
445,1.03,15,True,True,True
446,1.03,15,True,True,True
447,1.03,15,True,True,True
448,1.03,15,True,True,True
449,0.97,17,True,True,True
450,1.03,15,True,True,True
451,1.0,16,True,True,True
452,1.03,15,True,True,True
453,1.01,17,True,True,True
454,1.01,17,True,True,True
455,1.03,15,True,True,True
456,0.98,18,True,True,True
457,1.03,15,True,True,True
458,0.95,19,True,True,True
459,1.03,15,True,True,True
460,1.0,16,True,True,True
461,1.03,15,True,True,True
462,1.03,15,True,True,True
463,1.03,15,True,True,True
464,1.0,16,True,True,True
465,1.01,17,True,True,True
466,1.03,15,True,True,True
467,1.03,15,True,True,True
468,1.01,17,True,True,True
469,1.03,15,True,True,True
470,1.03,15,True,True,True
471,1.03,15,True,True,True
472,0.98,18,True,True,True
473,0.98,18,True,True,True
474,1.03,15,True,True,True
475,1.03,15,True,True,True
476,1.03,15,True,True,True
477,1.01,17,True,True,True
478,0.97,17,True,True,True
479,1.03,15,True,True,True
480,0.98,18,True,True,True
481,1.03,15,True,True,True
482,1.01,17,True,True,True
483,1.03,15,True,True,True
484,1.01,17,True,True,True
485,1.03,15,True,True,True
486,1.03,15,True,True,True
487,1.01,17,True,True,True
488,1.03,15,True,True,True
489,1.03,15,True,True,True
490,1.03,15,True,True,True
491,1.01,17,True,True,True
492,1.03,15,True,True,True
493,1.03,15,True,True,True
494,1.03,15,True,True,True
495,1.03,15,True,True,True
496,1.03,15,True,True,True
497,1.03,15,True,True,True
498,1.0,16,True,True,True
499,1.01,17,True,True,True
500,1.03,15,True,True,True
501,1.0,16,True,True,True
502,1.03,15,True,True,True
503,1.03,15,True,True,True
504,1.0,16,True,True,True
505,1.03,15,True,True,True
506,1.03,15,True,True,True
507,1.03,15,True,True,True
508,1.0,16,True,True,True
509,1.01,17,True,True,True
510,1.01,17,True,True,True
511,1.03,15,True,True,True
512,1.01,17,True,True,True
513,1.03,15,True,True,True
514,1.03,15,True,True,True
515,1.03,15,True,True,True
516,1.03,15,True,True,True
517,1.03,15,True,True,True
518,1.03,15,True,True,True
519,1.03,15,True,True,True
520,1.03,15,True,True,True
521,1.03,15,True,True,True
522,1.03,15,True,True,True
523,0.97,21,True,True,True
524,1.03,15,True,True,True
525,1.03,15,True,True,True
526,0.98,18,True,True,True
527,0.8899999999999999,29,True,True,True
528,1.0,16,True,True,True
529,1.03,15,True,True,True
530,1.03,15,True,True,True
531,0.98,18,True,True,True
532,1.01,17,True,True,True
533,-0.04,100,True,True,False
534,1.03,15,True,True,True
535,1.03,15,True,True,True
536,1.03,15,True,True,True
537,-0.04,100,True,True,False
538,1.01,17,True,True,True
539,1.03,15,True,True,True
540,1.01,17,True,True,True
541,1.03,15,True,True,True
542,1.0,16,True,True,True
543,1.03,15,True,True,True
544,1.01,17,True,True,True
545,1.01,17,True,True,True
546,1.03,15,True,True,True
547,1.03,15,True,True,True
548,1.03,15,True,True,True
549,1.03,15,True,True,True
550,1.03,15,True,True,True
551,1.02,16,True,True,True
552,0.99,19,True,True,True
553,1.03,15,True,True,True
554,1.03,15,True,True,True
555,1.03,15,True,True,True
556,1.03,15,True,True,True
557,0.9299999999999999,21,True,True,True
558,1.03,15,True,True,True
559,1.03,15,True,True,True
560,1.03,15,True,True,True
561,0.98,18,True,True,True
562,1.03,15,True,True,True
563,0.98,18,True,True,True
564,1.03,15,True,True,True
565,1.01,17,True,True,True
566,1.03,15,True,True,True
567,1.03,15,True,True,True
568,1.03,15,True,True,True
569,1.02,16,True,True,True
570,1.0,16,True,True,True
571,1.03,15,True,True,True
572,1.03,15,True,True,True
573,1.01,17,True,True,True
574,1.03,15,True,True,True
575,1.03,15,True,True,True
576,1.0,16,True,True,True
577,1.03,15,True,True,True
578,1.01,17,True,True,True
579,1.03,15,True,True,True
580,1.03,15,True,True,True
581,1.03,15,True,True,True
582,1.03,15,True,True,True
583,0.98,18,True,True,True
584,1.01,17,True,True,True
585,1.03,15,True,True,True
586,1.03,15,True,True,True
587,1.0,16,True,True,True
588,1.03,15,True,True,True
589,1.02,16,True,True,True
590,1.03,15,True,True,True
591,0.98,18,True,True,True
592,1.03,15,True,True,True
593,1.03,15,True,True,True
594,1.03,15,True,True,True
595,1.03,15,True,True,True
596,1.0,16,True,True,True
597,1.03,15,True,True,True
598,0.98,18,True,True,True
599,1.03,15,True,True,True
600,1.03,15,True,True,True
601,1.03,15,True,True,True
602,1.03,15,True,True,True
603,1.03,15,True,True,True
604,0.97,17,True,True,True
605,1.03,15,True,True,True
606,0.98,18,True,True,True
607,1.0,16,True,True,True
608,0.98,18,True,True,True
609,1.03,15,True,True,True
610,1.0,18,True,True,True
611,1.03,15,True,True,True
612,1.03,15,True,True,True
613,1.03,15,True,True,True
614,1.03,15,True,True,True
615,1.0,16,True,True,True
616,1.03,15,True,True,True
617,1.01,17,True,True,True
618,1.03,15,True,True,True
619,0.99,19,True,True,True
620,1.01,17,True,True,True
621,1.01,17,True,True,True
622,1.0,16,True,True,True
623,1.03,15,True,True,True
624,1.03,15,True,True,True
625,0.99,19,True,True,True
626,1.03,15,True,True,True
627,0.98,18,True,True,True
628,1.03,15,True,True,True
629,1.0,16,True,True,True
630,1.03,15,True,True,True
631,1.03,15,True,True,True
632,1.03,15,True,True,True
633,1.03,15,True,True,True
634,0.98,18,True,True,True
635,0.98,18,True,True,True
636,1.03,15,True,True,True
637,0.97,17,True,True,True
638,1.0,16,True,True,True
639,1.03,15,True,True,True
640,1.0,16,True,True,True
641,0.95,19,True,True,True
642,1.03,15,True,True,True
643,0.98,18,True,True,True
644,1.01,17,True,True,True
645,1.01,17,True,True,True
646,1.01,17,True,True,True
647,1.01,17,True,True,True
