step,entropy
0,0.014902729024669928
1,0.01868932195329593
2,0.022317717607723508
3,0.024619510399444728
4,0.011621875046784974
5,0.028802634635439004
6,0.027426335015414333
7,0.08961358721325022
8,0.10671026240223483
9,0.10259102258914572
10,0.1203547344807684
11,0.0071431754088366215
12,0.005967001266184649
13,0.014562777095326798
14,0.02121406559432367
15,0.00971393782355962
16,0.01530406555167411
17,0.021617845237573378
18,0.021420706241238846
19,0.023630371214102403
20,0.008850480824344694
21,0.020003245146847416
22,0.038019844452401405
23,0.09606584911638795
24,0.1015028764362184
25,0.09595351437680703
26,0.02502119296707298
27,0.0996298962599831
28,0.09424376353040043
29,0.10635547238981077
30,0.006007272756471445
31,0.017323158198774946
32,0.012868648999369417
33,0.009384496733506793
34,0.023097973247389967
35,0.022031251522665926
36,0.019586471041634322
37,0.03058229263186668
38,0.011552113719903131
39,0.02280239205880338
40,0.026426550740907485
41,0.10184139906733168
42,0.08821644414292623
43,0.09381623786198463
44,0.10280636864600821
45,0.11276995915592632
46,0.005513891159454488
47,0.012549928224703738
48,0.011318040962913301
49,0.01415250716505441
50,0.016334172937857376
51,0.026597788770129378
52,0.017577294368001806
53,0.022058161678488227
54,0.012934890896358965
55,0.02343428769953761
56,0.022194656766122926
57,0.10108418348366516
58,0.10844736318853444
59,0.09415153849611661
60,0.08591897512301613
61,0.0065993754614274164
62,0.009773779704993633
63,0.013003884915770043
64,0.013026786092589743
65,0.01976334525092049
66,0.02466199122602366
67,0.02900114390635179
68,0.01715198382251066
69,0.010159091889252434
70,0.03383959733009087
71,0.023883103546282453
72,0.10018582961843828
73,0.10271886550385217
74,0.09812843640808339
75,0.10357503713273761
76,0.006837938066581389
77,0.01025038990500823
78,0.014416677355052787
79,0.010506893964257987
80,0.017440143076240526
81,0.021310815775229943
82,0.02096855497951551
83,0.11638064192824224
84,0.020159836051861196
85,0.019377636103671537
86,0.010037679080590564
87,0.02653381870506307
88,0.026290953738638264
89,0.09882685054684112
90,0.11120796649867096
91,0.08705131263109218
92,0.10366529008266218
93,0.007269072857693374
94,0.011263382746881321
95,0.014315969117510001
96,0.013031932723543716
97,0.018992524136897563
98,0.015424301359283542
99,0.019417235187260722
100,0.024548964405194596
101,0.02172453453847801
102,0.01074475812286806
103,0.022292869807727603
104,0.03707879681251925
105,0.11857272016758284
106,0.03180917214188338
107,0.14301014144452381
108,0.03340995606882959
109,0.09601954679769972
110,0.09036790485135597
111,0.10173805444001756
112,0.0980093799161794
113,0.11815645297137758
114,0.006224408618769144
115,0.010719548079677059
116,0.01213412974573175
117,0.013077907518831899
118,0.4392345165491975
119,0.038301155805219506
120,0.01514481511035895
121,0.008628518331870798
122,0.014969300759712518
123,0.019564217967655687
124,0.02766526507173266
125,0.018965051520395338
126,0.01309537851970466
127,0.023081784564281317
128,0.026266927640458713
129,0.11080377253253358
130,0.09049259983797725
131,0.1126033782085481
132,0.1149542416439501
133,0.007092813188779715
134,0.014534324223277459
135,0.012715395823987131
136,0.010640331395274653
137,0.022086280083178516
138,0.02627200367449607
139,0.02042581282852905
140,0.02301778903803197
141,0.010841499045162316
142,0.025519338698635027
143,0.026549481961939854
144,0.11545569732930759
145,0.08102091938442893
146,0.09505559566634487
147,0.09885936679223865
148,0.005913820377432353
149,0.010348576328103364
150,0.01253462142438954
151,0.012101714187739886
152,0.02169955711791389
153,0.023785242331934353
154,0.021265957800016097
155,0.019466398417061655
156,0.010188931238451056
157,0.030704362801981636
158,0.02910604629513748
159,0.02334077571818367
160,0.0798689165844325
161,0.09987908254376131
162,0.08834604619391559
163,0.1080900270578062
164,0.006506219357972813
165,0.013998560751097481
166,0.011819152922299733
167,0.009630094726465848
168,0.01694875960342911
169,0.02378705007593033
170,0.020094824392943175
171,0.020356785246649415
172,0.009815541831814881
173,0.022254254451665036
174,0.09812938078650894
175,0.09801362961909439
176,0.026260740572979526
177,0.037320536857584206
178,0.11188535432954208
179,0.09550354583286629
180,0.09139027782452701
181,0.09606935813034173
182,0.004797907936402958
183,0.01024294829560098
184,0.015863233637702114
185,0.009837138701666933
186,0.01925066697047402
187,0.026733286242319434
188,0.021334601149497097
189,0.020093044424783244
190,0.009617684135722667
191,0.021998908876243683
192,0.024965687588041605
193,0.12643278180347411
194,0.09798424278455801
195,0.10371129612576592
196,0.10299089278347198
197,0.005905143321984318
198,0.01191499575922851
199,0.013665871045553807
200,0.010601041317861474
201,0.020701585216709024
202,0.017160717008294035
203,0.02394080321636144
204,0.020365972104421537
205,0.010035421136585346
206,0.03087681139472452
207,0.02335444374417117
208,0.10766204771740166
209,0.10796410067578689
210,0.11910369230804493
211,0.12852423744743308
212,0.0065025431103395105
213,0.011488784813718879
214,0.014539029912834204
215,0.013600620977376392
216,0.020579996494418867
217,0.018243748935409428
218,0.01865051100905454
219,0.02443250495396088
220,0.011667640365976312
221,0.022710657730956367
222,0.02785196729767301
223,0.09041291096436206
224,0.0244641045967689
225,0.11549866654767033
226,0.10570136996815799
227,0.11843520200332046
228,0.030888676306022052
229,0.09330495878927897
230,0.025942806780335143
231,0.0997951254500071
232,0.09493823350043967
233,0.006559551856496858
234,0.01155277455333572
235,0.01113532919875152
236,0.010479487315366371
237,0.020945207074666076
238,0.016256217739342046
239,0.022750242926627532
240,0.01998315858808035
241,0.010915598031773298
242,0.03294447472045731
243,0.045208825686856934
244,0.09485274873570294
245,0.09724166506648758
246,0.1212402836855782
247,0.08589968017557637
248,0.007162787463737907
249,0.010567697584015082
250,0.014249723748540947
251,0.012875905436536363
252,0.017205238201495825
253,0.02135812728262783
254,0.020130476993160864
255,0.05962739642806684
256,0.018584012185581568
257,0.019536169002555514
258,0.010765613146432393
259,0.022296200593400088
