Methods,ECE,BS,Discrimination
Deterministic 8*8 by Mean Entropy,0.027130447130675472,0.0016561719884845534,1.0
Deterministic 8*8 by Max Probability,0.008243368029594467,0.00018222904425422825,1.0
Sample Consistency 8*8 by Mean Entropy,0.03946361894340701,0.0029556582589211635,1.0
Sample Consistency 8*8 Max Probability,0.012378234446048686,0.00036153470731494863,1.0
