episode,reward,steps,key,door,goal
227,0.96,10,1,1,1
228,0.68,22,1,1,1
229,0.82,16,1,1,1
230,0.9,13,1,1,1
231,0.24,38,1,1,1
232,1.0,9,1,1,1
233,0.84,14,1,1,1
234,0.58,25,1,1,1
235,0.14,40,1,1,1
236,0.58,24,1,1,1
237,0.8,15,1,1,1
238,0.84,16,1,1,1
239,0.84,15,1,1,1
240,1.02,8,1,1,1
241,0.86,14,1,1,1
242,0.4,31,1,1,1
243,-0.02,49,1,1,1
244,0.08,50,1,1,1
245,0.98,10,1,1,1
246,0.38,34,1,1,1
247,0.84,15,1,1,1
248,1.04,7,1,1,1
249,0.9,11,1,1,1
250,0.92,11,1,1,1
251,0.96,9,1,1,1
252,0.8,16,1,1,1
253,0.4,31,1,1,1
254,-0.28,50,1,1,0
255,0.42,35,1,1,1
256,0.8,14,1,1,1
257,1.02,8,1,1,1
258,0.7,20,1,1,1
259,0.96,11,1,1,1
260,0.9,14,1,1,1
261,1.0,9,1,1,1
262,0.86,14,1,1,1
263,0.46,28,1,1,1
264,0.66,21,1,1,1
265,0.74,20,1,1,1
266,0.78,17,1,1,1
267,0.94,10,1,1,1
268,0.8,16,1,1,1
269,0.88,13,1,1,1
270,0.46,31,1,1,1
271,0.18,39,1,1,1
272,-0.22,50,1,1,0
273,0.86,16,1,1,1
274,0.82,16,1,1,1
275,0.6,22,1,1,1
276,0.88,14,1,1,1
277,0.74,19,1,1,1
278,0.9,12,1,1,1
279,0.76,20,1,1,1
280,0.84,15,1,1,1
281,0.6,26,1,1,1
282,0.46,31,1,1,1
283,0.46,31,1,1,1
284,0.68,21,1,1,1
285,-0.18,50,1,1,0
286,-0.18,50,1,1,0
287,0.3,39,1,1,1
288,0.96,9,1,1,1
289,0.72,19,1,1,1
290,0.84,13,1,1,1
291,0.8,17,1,1,1
292,-0.2,50,1,1,0
293,0.88,14,1,1,1
294,1.04,7,1,1,1
295,-0.26,50,1,1,0
296,0.92,12,1,1,1
297,0.84,15,1,1,1
298,0.96,10,1,1,1
299,0.5,29,1,1,1
300,1.04,7,1,1,1
301,0.58,25,1,1,1
302,0.92,10,1,1,1
